id,brand,model,model_year,milage,fuel_type,engine,transmission,price
0,MINI,Cooper S Base,2007.0,213000.0,Gasoline,172.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,A/T,4200
1,,LS V8,2002.0,143250.0,Gasoline,252.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,A/T,4999
2,,Silverado 2500 LT,2002.0,136731.0,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,13900
3,Genesis,G90 5.0 Ultimate,2017.0,19500.0,,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,45000
4,,,2021.0,7388.0,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,97500
5,Audi,A6 2.0T Sport,2018.0,40950.0,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,29950
6,Audi,A8 L 3.0T,2016.0,62200.0,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,28500
7,Chevrolet,Silverado 1500 1LZ,2016.0,102604.0,E85 Flex Fuel,355.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,12500
8,FORD,F-150 XLT,2020.0,38352.0,,2.7L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,62890
9,BMW,,2015.0,74850.0,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,4000
10,Chevy,Camaro 1LT,2011.0,212500.0,Gasoline,312.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,7950
11,Tesla,Model S P100D,2015.0,81500.0,,Electric Motor Electric Fuel System,1-Speed A/T,19000
12,,Escalade ESV Platinum,2017.0,93971.0,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,51500
13,Audi,,2013.0,60000.0,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,12300
14,,Rover Range Rover P530 SE SWB,2023.0,20000.0,,523.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,56900
15,Mercedes,AMG C 63 S,2017.0,41500.0,Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,44900
16,GMC,Yukon Denali,2021.0,15000.0,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,68500
17,Land Rover,Rover Defender SE,2021.0,46100.0,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,55000
18,Toyota,Tundra SR5,2011.0,153250.0,Gasoline,310.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,9999
19,Mercedes,AMG C 63 Base,2019.0,16002.0,Gasoline,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,46900
20,Land Rover,Rover Defender S,,7978.0,Gasoline,5.2L V10 40V PDI DOHC,8-Speed Automatic,41998
21,Hyundai,Equus Signature,2016.0,87092.0,Gasoline,429.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,16500
22,FORD,Mustang Premium,2012.0,154247.0,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,9900
23,Audi,A8 L 55,2018.0,51000.0,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,76000
24,,XC70 T6 Platinum,2014.0,100680.0,,316.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,33687
25,Toyota,Sequoia Limited,2013.0,183000.0,,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,29000
26,Ford,F-250 XLT,2014.0,67100.0,Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,25900
27,,G90 5.0 Ultimate,2017.0,39000.0,Gasoline,,8-Speed A/T,38000
28,Toyota,Tacoma PreRunner,2008.0,244200.0,Gasoline,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,3499
29,Audi,A5 2.0T Premium,2013.0,11000.0,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,17900
30,Audi,A3 2.0T Premium,2019.0,57550.0,Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,39499
31,Mercedes,E-Class E 300,2021.0,17000.0,Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,104900
32,Tesla,Model S P100D,2018.0,30300.0,,518.0HP Electric Motor Electric Fuel System,A/T,64000
33,Mercedes,E-Class E 350 4MATIC,2009.0,120000.0,,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,15000
34,Volkswagen,Jetta S,2019.0,22000.0,Gasoline,174.0HP 2.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,87000
35,,528 i xDrive,2015.0,83424.0,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,23000
36,BMW,330 i xDrive,2019.0,7600.0,,,A/T,165000
37,,AMG G 63 Base,2020.0,20172.0,Gasoline,563.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,A/T,45000
38,Mercedes-Benz,,2016.0,67289.0,,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,28000
39,Buick,,2022.0,9642.0,Gasoline,3.6L V6 24V GDI DOHC,9-Speed Automatic,63900
40,BMW,328 xi,2003.0,107818.0,Gasoline,,,12000
41,Ford,,2019.0,32437.0,Gasoline,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,A/T,30000
42,Chevy,Corvette Grand Sport,2014.0,55000.0,Gasoline,430.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,32000
43,Mercedes,AMG GT 53 Base,2022.0,10972.0,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,244896
44,Rivian,R1S Adventure Package,2023.0,7000.0,Gasoline,835.0HP Electric Motor Electric Fuel System,8-Speed A/T,145000
45,RAM,1500 Laramie,2022.0,27352.0,,5.7L V8 16V MPFI OHV,8-Speed Automatic,42599
46,,Corvette Base,2007.0,171896.0,,300.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,A/T,10000
47,BMW,,2015.0,62500.0,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,49999
48,Hummer,H2 Base,,137405.0,Gasoline,310.0HP 6.8L 10 Cylinder Engine Gasoline Fuel,A/T,26500
49,Alfa,Romeo Stelvio Ti Sport,2020.0,33060.0,Gasoline,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,34500
50,,QX60 Base,2016.0,49000.0,,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,21000
51,Tesla,Model 3 Long Range,2020.0,38360.0,,Dual Motor - Standard,Automatic,59598
52,,Model X 75D,2021.0,88000.0,,518.0HP Electric Motor Electric Fuel System,1-Speed A/T,53600
53,,Genesis Coupe 3.8 Base,,66770.0,Gasoline,348.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,16000
54,BMW,M6 Base,2016.0,73500.0,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,33200
55,Jeep,Gladiator Rubicon,2022.0,12100.0,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,53900
56,Mercedes-Benz,C-Class C 300 4MATIC Sport,2015.0,70582.0,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,27000
